Number,	 SepLen,	 SepWid,	 PetLen,	 PetWid,	 Class
0,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
1,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
2,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
3,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
4,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
5,	 SepLen0,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
6,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
7,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
8,	 SepLen0,	 SepWid1,	 PetLen0,	 PetWid0,	 Yes
9,	 SepLen0,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
10,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
11,	 SepLen0,	 SepWid1,	 PetLen0,	 PetWid0,	 Yes
12,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
13,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
14,	 SepLen0,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
15,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
16,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
17,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
18,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
19,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
20,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
21,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
22,	 SepLen1,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
23,	 SepLen0,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
24,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
25,	 SepLen0,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
26,	 SepLen0,	 SepWid1,	 PetLen0,	 PetWid0,	 Yes
27,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
28,	 SepLen0,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
29,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
30,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
31,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
32,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
33,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
34,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
35,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
36,	 SepLen2,	 SepWid2,	 PetLen3,	 PetWid3,	 No
37,	 SepLen0,	 SepWid0,	 PetLen1,	 PetWid1,	 No
38,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
39,	 SepLen3,	 SepWid1,	 PetLen3,	 PetWid2,	 No
40,	 SepLen3,	 SepWid1,	 PetLen3,	 PetWid2,	 No
41,	 SepLen3,	 SepWid1,	 PetLen3,	 PetWid2,	 No
42,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
43,	 SepLen0,	 SepWid0,	 PetLen2,	 PetWid1,	 No
44,	 SepLen0,	 SepWid0,	 PetLen1,	 PetWid1,	 No
45,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
46,	 SepLen2,	 SepWid2,	 PetLen3,	 PetWid3,	 No
47,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
48,	 SepLen2,	 SepWid1,	 PetLen2,	 PetWid1,	 No
49,	 SepLen1,	 SepWid1,	 PetLen2,	 PetWid2,	 No
50,	 SepLen2,	 SepWid2,	 PetLen2,	 PetWid2,	 No
51,	 SepLen1,	 SepWid1,	 PetLen2,	 PetWid2,	 No
52,	 SepLen2,	 SepWid2,	 PetLen2,	 PetWid2,	 No
53,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
54,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid2,	 No
55,	 SepLen2,	 SepWid2,	 PetLen2,	 PetWid2,	 No
56,	 SepLen2,	 SepWid2,	 PetLen3,	 PetWid3,	 No
57,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid2,	 No
58,	 SepLen2,	 SepWid1,	 PetLen2,	 PetWid2,	 No
59,	 SepLen1,	 SepWid0,	 PetLen2,	 PetWid2,	 No
60,	 SepLen2,	 SepWid2,	 PetLen4,	 PetWid4,	 No
61,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 No
62,	 SepLen2,	 SepWid2,	 PetLen4,	 PetWid4,	 No
63,	 SepLen3,	 SepWid2,	 PetLen4,	 PetWid4,	 No
64,	 SepLen2,	 SepWid2,	 PetLen4,	 PetWid4,	 No
65,	 SepLen3,	 SepWid2,	 PetLen4,	 PetWid4,	 No
66,	 SepLen0,	 SepWid1,	 PetLen2,	 PetWid3,	 No
67,	 SepLen3,	 SepWid2,	 PetLen4,	 PetWid4,	 No
68,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 No
69,	 SepLen3,	 SepWid1,	 PetLen4,	 PetWid3,	 No
70,	 SepLen0,	 SepWid1,	 PetLen2,	 PetWid3,	 No
71,	 SepLen3,	 SepWid2,	 PetLen4,	 PetWid4,	 No
72,	 SepLen3,	 SepWid2,	 PetLen4,	 PetWid4,	 No
73,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid3,	 No
74,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid4,	 No
75,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid4,	 No
76,	 SepLen4,	 SepWid2,	 PetLen4,	 PetWid4,	 No
77,	 SepLen2,	 SepWid2,	 PetLen4,	 PetWid4,	 No
78,	 SepLen0,	 SepWid1,	 PetLen2,	 PetWid3,	 No
