Number,	 SepLen,	 SepWid,	 PetLen,	 PetWid,	 Class
0,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
1,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
2,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
3,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
4,	 SepLen0,	 SepWid3,	 PetLen0,	 PetWid0,	 No
5,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
6,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
7,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
8,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
9,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
10,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
11,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
12,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
13,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
14,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
15,	 SepLen0,	 SepWid1,	 PetLen0,	 PetWid0,	 No
16,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
17,	 SepLen0,	 SepWid1,	 PetLen0,	 PetWid0,	 No
18,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
19,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
20,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
21,	 SepLen0,	 SepWid3,	 PetLen0,	 PetWid0,	 No
22,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
23,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
24,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
25,	 SepLen1,	 SepWid2,	 PetLen0,	 PetWid0,	 No
26,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
27,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
28,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
