Number,	 SepLen,	 SepWid,	 PetLen,	 PetWid,	 Class
0,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
1,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
2,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
3,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
4,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
5,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
6,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
7,	 SepLen0,	 SepWid3,	 PetLen0,	 PetWid0,	 No
8,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
9,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
10,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
11,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
12,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
13,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
14,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
15,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
16,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
17,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
18,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
19,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
20,	 SepLen0,	 SepWid3,	 PetLen0,	 PetWid0,	 No
21,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
22,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
23,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
24,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
25,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
26,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
27,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 No
28,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 No
29,	 SepLen1,	 SepWid2,	 PetLen0,	 PetWid0,	 No
30,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
31,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
32,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
33,	 SepLen2,	 SepWid2,	 PetLen2,	 PetWid2,	 No
34,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
35,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
36,	 SepLen1,	 SepWid1,	 PetLen2,	 PetWid2,	 No
37,	 SepLen1,	 SepWid1,	 PetLen2,	 PetWid2,	 No
38,	 SepLen3,	 SepWid1,	 PetLen3,	 PetWid2,	 No
39,	 SepLen1,	 SepWid1,	 PetLen2,	 PetWid2,	 No
40,	 SepLen2,	 SepWid2,	 PetLen3,	 PetWid3,	 No
41,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
42,	 SepLen3,	 SepWid1,	 PetLen3,	 PetWid2,	 No
43,	 SepLen3,	 SepWid1,	 PetLen3,	 PetWid2,	 No
44,	 SepLen1,	 SepWid1,	 PetLen2,	 PetWid2,	 No
45,	 SepLen3,	 SepWid2,	 PetLen2,	 PetWid2,	 No
46,	 SepLen3,	 SepWid2,	 PetLen2,	 PetWid2,	 No
47,	 SepLen2,	 SepWid2,	 PetLen2,	 PetWid2,	 No
48,	 SepLen3,	 SepWid1,	 PetLen3,	 PetWid2,	 No
49,	 SepLen2,	 SepWid2,	 PetLen2,	 PetWid2,	 No
50,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
51,	 SepLen2,	 SepWid2,	 PetLen3,	 PetWid3,	 No
52,	 SepLen2,	 SepWid2,	 PetLen3,	 PetWid3,	 No
53,	 SepLen1,	 SepWid2,	 PetLen2,	 PetWid2,	 No
54,	 SepLen1,	 SepWid2,	 PetLen2,	 PetWid2,	 No
55,	 SepLen3,	 SepWid1,	 PetLen3,	 PetWid2,	 No
56,	 SepLen1,	 SepWid2,	 PetLen2,	 PetWid2,	 No
57,	 SepLen0,	 SepWid0,	 PetLen1,	 PetWid1,	 No
58,	 SepLen1,	 SepWid2,	 PetLen2,	 PetWid2,	 No
59,	 SepLen1,	 SepWid1,	 PetLen2,	 PetWid2,	 No
60,	 SepLen2,	 SepWid2,	 PetLen4,	 PetWid4,	 Yes
61,	 SepLen2,	 SepWid2,	 PetLen4,	 PetWid4,	 Yes
62,	 SepLen3,	 SepWid2,	 PetLen4,	 PetWid4,	 Yes
63,	 SepLen3,	 SepWid2,	 PetLen4,	 PetWid4,	 Yes
64,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 Yes
65,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 Yes
66,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 Yes
67,	 SepLen4,	 SepWid2,	 PetLen4,	 PetWid4,	 Yes
68,	 SepLen4,	 SepWid1,	 PetLen4,	 PetWid3,	 Yes
69,	 SepLen3,	 SepWid1,	 PetLen4,	 PetWid3,	 Yes
70,	 SepLen0,	 SepWid1,	 PetLen2,	 PetWid3,	 Yes
71,	 SepLen0,	 SepWid1,	 PetLen2,	 PetWid3,	 Yes
72,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 Yes
73,	 SepLen3,	 SepWid2,	 PetLen4,	 PetWid4,	 Yes
74,	 SepLen4,	 SepWid2,	 PetLen4,	 PetWid4,	 Yes
75,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 Yes
76,	 SepLen0,	 SepWid1,	 PetLen2,	 PetWid3,	 Yes
77,	 SepLen0,	 SepWid1,	 PetLen2,	 PetWid3,	 Yes
78,	 SepLen4,	 SepWid2,	 PetLen4,	 PetWid4,	 Yes
79,	 SepLen4,	 SepWid3,	 PetLen4,	 PetWid4,	 Yes
80,	 SepLen3,	 SepWid2,	 PetLen4,	 PetWid4,	 Yes
81,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 Yes
82,	 SepLen1,	 SepWid1,	 PetLen3,	 PetWid3,	 Yes
83,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid4,	 Yes
84,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid3,	 Yes
85,	 SepLen4,	 SepWid2,	 PetLen4,	 PetWid3,	 Yes
86,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid4,	 Yes
87,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 Yes
88,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 Yes
89,	 SepLen2,	 SepWid2,	 PetLen3,	 PetWid4,	 Yes
