"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","0","10","50","0","2017","A","",124881,1936819,89088710816,14933112889,219228261,885,45997,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2571,2.1,21513,1.1,3222071166,3.8,314783334,2.2,-16634116,-7.1,23,2.7,1165,2.6
"01000","1","10","51","0","2017","A","",1208,53131,4339038631,0,0,1571,81668,"",1.59,1.41,1.72,0.00,0.00,1.22,1.22,"",14,1.2,-175,-0.3,84871435,2.0,0,0.0,0,0.0,36,2.3,1861,2.3
"01000","1","102","52","0","2017","A","",1208,53131,4339038631,0,0,1571,81668,"",1.60,1.43,1.75,0.00,0.00,1.22,1.22,"",14,1.2,-175,-0.3,84871435,2.0,0,0.0,0,0.0,36,2.3,1861,2.3
"01000","1","1021","53","0","2017","A","",610,11173,716001109,0,0,1232,64083,"",1.60,1.21,1.56,0.00,0.00,1.29,1.29,"",11,1.8,-4,0.0,-13206971,-1.8,0,0.0,0,0.0,-23,-1.8,-1161,-1.8
"01000","1","1022","53","0","2017","A","",2,12,369309,0,0,584,30354,"",1.27,0.14,0.06,0.00,0.00,0.47,0.47,"",0,0.0,0,0.0,-17986,-4.6,0,0.0,0,0.0,-24,-3.9,-1262,-4.0
"01000","1","1023","53","0","2017","A","",18,148,12134864,0,0,1572,81762,"",1.77,0.85,0.74,0.00,0.00,0.87,0.87,"",1,5.9,0,0.0,-175254,-1.4,0,0.0,0,0.0,-30,-1.9,-1555,-1.9
"01000","1","1024","53","0","2017","A","",45,1816,164363998,0,0,1741,90534,"",2.43,2.07,2.55,0.00,0.00,1.23,1.23,"",1,2.3,42,2.4,9805007,6.3,0,0.0,0,0.0,65,3.9,3401,3.9
"01000","1","1025","53","0","2017","A","",39,6893,484433739,0,0,1352,70279,"",2.24,1.25,1.34,0.00,0.00,1.07,1.07,"",2,5.4,119,1.8,22359675,4.8,0,0.0,0,0.0,40,3.0,2069,3.0
"01000","1","1026","53","0","2017","A","",27,772,15985153,0,0,398,20708,"",1.38,1.16,0.62,0.00,0.00,0.53,0.53,"",0,0.0,-43,-5.3,-403579,-2.5,0,0.0,0,0.0,11,2.8,597,3.0
"01000","1","1027","53","0","2017","A","",3,414,47236140,0,0,2196,114212,"",1.39,6.72,17.27,0.00,0.00,2.57,2.57,"",0,0.0,-18,-4.2,-938850,-1.9,0,0.0,0,0.0,54,2.5,2803,2.5
"01000","1","1028","53","0","2017","A","",465,31903,2898514319,0,0,1747,90854,"",1.52,1.56,1.88,0.00,0.00,1.21,1.21,"",0,0.0,-271,-0.8,67449393,2.4,0,0.0,0,0.0,55,3.3,2861,3.3
"01000","1","22","54","0","2017","A","",17,1528,186961697,0,0,2354,122391,"",8.32,9.63,11.60,0.00,0.00,1.20,1.21,"",0,0.0,-175,-10.3,-18659666,-9.1,0,0.0,0,0.0,33,1.4,1674,1.4
"01000","1","221","55","0","2017","A","",17,1528,186961697,0,0,2354,122391,"",8.32,9.63,11.60,0.00,0.00,1.20,1.21,"",0,0.0,-175,-10.3,-18659666,-9.1,0,0.0,0,0.0,33,1.4,1674,1.4
"01000","1","2211","56","0","2017","A","",17,1528,186961697,0,0,2354,122391,"",8.69,10.33,12.18,0.00,0.00,1.18,1.18,"",0,0.0,-175,-10.3,-18659666,-9.1,0,0.0,0,0.0,33,1.4,1674,1.4
"01000","1","22111","57","0","2017","A","",6,1445,177867689,0,0,2367,123071,"",6.30,13.08,15.98,0.00,0.00,1.22,1.22,"",0,0.0,-175,-10.8,-19333468,-9.8,0,0.0,0,0.0,25,1.1,1304,1.1
"01000","1","221111","58","0","2017","A","",2,46,4594407,0,0,1903,98982,"",2.35,0.55,0.55,0.00,0.00,0.98,0.98,"",0,0.0,-1,-2.1,48950,1.1,0,0.0,0,0.0,37,2.0,1926,2.0
"01000","1","221112","58","0","2017","A","",2,70,9018508,0,0,2495,129763,"",26.25,7.30,9.51,0.00,0.00,1.31,1.31,"",0,0.0,-82,-53.9,-8183976,-47.6,0,0.0,0,0.0,321,14.8,16713,14.8
"01000","1","221113","58","0","2017","A","",2,1329,164254774,0,0,2376,123562,"",78.76,74.28,89.44,0.00,0.00,1.20,1.20,"",0,0.0,-92,-6.5,-11198442,-6.4,0,0.0,0,0.0,1,0.0,47,0.0
"01000","1","22112","57","0","2017","A","",11,82,9094008,0,0,2124,110454,"",10.97,2.19,2.16,0.00,0.00,0.98,0.98,"",0,0.0,-2,-2.4,673802,8.0,0,0.0,0,0.0,192,9.9,10014,10.0
"01000","1","221121","58","0","2017","A","",5,61,6991389,0,0,2192,113990,"",9.84,2.40,2.31,0.00,0.00,0.96,0.96,"",0,0.0,-4,-6.2,298381,4.5,0,0.0,0,0.0,212,10.7,11021,10.7
"01000","1","221122","58","0","2017","A","",6,21,2102619,0,0,1925,100125,"",12.12,1.74,1.77,0.00,0.00,1.01,1.02,"",0,0.0,2,10.5,375421,21.7,0,0.0,0,0.0,161,9.1,8415,9.2
"01000","1","44-45","54","0","2017","A","",12,824,46946927,0,0,1096,56997,"",1.41,1.37,2.81,0.00,0.00,2.05,2.05,"",0,0.0,-7,-0.8,-3837796,-7.6,0,0.0,0,0.0,-79,-6.7,-4122,-6.7
"01000","1","441","55","0","2017","A","",1,2,11420,0,0,146,7613,"",1.92,1.22,0.35,0.00,0.00,0.38,0.38,"",0,0.0,1,100.0,5205,83.7,0,0.0,0,0.0,-59,-28.8,-3041,-28.5
"01000","1","4413","56","0","2017","A","",1,2,11420,0,0,146,7613,"",1.92,1.22,0.35,0.00,0.00,0.38,0.38,"",0,0.0,1,100.0,5205,83.7,0,0.0,0,0.0,-59,-28.8,-3041,-28.5
"01000","1","44131","57","0","2017","A","",1,2,11420,0,0,146,7613,"",1.92,1.22,0.35,0.00,0.00,0.38,0.38,"",0,0.0,1,100.0,5205,83.7,0,0.0,0,0.0,-59,-28.8,-3041,-28.5
"01000","1","441310","58","0","2017","A","",1,2,11420,0,0,146,7613,"",1.92,1.22,0.35,0.00,0.00,0.38,0.38,"",0,0.0,1,100.0,5205,83.7,0,0.0,0,0.0,-59,-28.8,-3041,-28.5
"01000","1","445","55","0","2017","A","",4,239,8784434,0,0,707,36768,"",1.60,1.48,1.56,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,749731,9.3,0,0.0,0,0.0,60,9.3,3103,9.2
"01000","1","4451","56","0","2017","A","",4,239,8784434,0,0,707,36768,"",1.62,1.49,1.56,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,749731,9.3,0,0.0,0,0.0,60,9.3,3103,9.2
"01000","1","44511","57","0","2017","A","",4,239,8784434,0,0,707,36768,"",1.86,1.58,1.62,0.00,0.00,1.03,1.03,"",0,0.0,0,0.0,749731,9.3,0,0.0,0,0.0,60,9.3,3103,9.2
"01000","1","445110","58","0","2017","A","",4,239,8784434,0,0,707,36768,"",1.86,1.58,1.62,0.00,0.00,1.03,1.03,"",0,0.0,0,0.0,749731,9.3,0,0.0,0,0.0,60,9.3,3103,9.2
"01000","1","451","55","0","2017","A","",1,2,12584,0,0,161,8389,"",2.07,1.77,0.69,0.00,0.00,0.52,0.52,"",0,0.0,1,100.0,1281,11.3,0,0.0,0,0.0,-25,-13.4,-1299,-13.4
"01000","1","4511","56","0","2017","A","",1,2,12584,0,0,161,8389,"",2.13,1.81,0.78,0.00,0.00,0.57,0.57,"",0,0.0,1,100.0,1281,11.3,0,0.0,0,0.0,-25,-13.4,-1299,-13.4
